timestamp,co2
07/17/2024 15:13,931
07/17/2024 15:13,925
07/17/2024 15:14,929
07/17/2024 15:14,919
07/17/2024 15:15,929
07/17/2024 15:15,932
07/17/2024 15:16,941
07/17/2024 15:16,921
07/17/2024 15:17,920
07/17/2024 15:17,927
07/17/2024 15:18,916
07/17/2024 15:18,931
07/17/2024 15:19,920
07/17/2024 15:19,921
07/17/2024 15:20,924
07/17/2024 15:20,917
07/17/2024 15:21,925
07/17/2024 15:21,928
07/17/2024 15:22,917
07/17/2024 15:22,919
07/17/2024 15:23,908
07/17/2024 15:23,923
07/17/2024 15:24,911
07/17/2024 15:24,924
07/17/2024 15:25,906
07/17/2024 15:25,915
07/17/2024 15:26,902
07/17/2024 15:26,908
07/17/2024 15:27,922
07/17/2024 15:27,908
07/17/2024 15:28,907
07/17/2024 15:28,927
07/17/2024 15:29,908
07/17/2024 15:29,914
07/17/2024 15:30,917
07/17/2024 15:30,908
07/17/2024 15:31,919
07/17/2024 15:31,922
07/17/2024 15:32,921
07/17/2024 15:32,909
07/17/2024 15:33,909
07/17/2024 15:33,908
07/17/2024 15:34,918
07/17/2024 15:34,915
07/17/2024 15:35,924
07/17/2024 15:35,911
07/17/2024 15:36,913
07/17/2024 15:36,916
07/17/2024 15:37,920
07/17/2024 15:37,923
07/17/2024 15:38,920
07/17/2024 15:38,916
07/17/2024 15:39,911
07/17/2024 15:39,914
07/17/2024 15:40,919
07/17/2024 15:40,918
07/17/2024 15:41,918
07/17/2024 15:41,923
07/17/2024 15:42,921
07/17/2024 15:42,913
07/17/2024 15:43,914
07/17/2024 15:43,916
07/17/2024 15:44,921
07/17/2024 15:44,909
07/17/2024 15:45,903
07/17/2024 15:45,927
07/17/2024 15:46,913
07/17/2024 15:46,925
07/17/2024 15:47,922
07/17/2024 15:47,922
07/17/2024 15:48,922
07/17/2024 15:48,914
07/17/2024 15:49,914
07/17/2024 15:49,913
07/17/2024 15:50,922
07/17/2024 15:50,912
07/17/2024 15:51,918
07/17/2024 15:51,906
07/17/2024 15:52,921
07/17/2024 15:52,913
07/17/2024 15:53,918
07/17/2024 15:53,917
07/17/2024 15:54,919
07/17/2024 15:54,926
07/17/2024 15:55,916
07/17/2024 15:55,912
07/17/2024 15:56,917
07/17/2024 15:56,920
07/17/2024 15:57,904
07/17/2024 15:57,918
07/17/2024 15:58,925
07/17/2024 15:58,919
07/17/2024 15:59,915
07/17/2024 15:59,912
07/17/2024 16:00,919
07/17/2024 16:00,921
07/17/2024 16:01,923
07/17/2024 16:01,919
07/17/2024 16:02,908
07/17/2024 16:02,915
07/17/2024 16:03,921
07/17/2024 16:03,923
07/17/2024 16:04,912
07/17/2024 16:04,915
07/17/2024 16:05,917
07/17/2024 16:05,915
07/17/2024 16:06,912
07/17/2024 16:06,911
07/17/2024 16:07,917
07/17/2024 16:07,916
07/17/2024 16:08,919
07/17/2024 16:08,912
07/17/2024 16:09,912
07/17/2024 16:09,917
07/17/2024 16:10,912
07/17/2024 16:10,918
07/17/2024 16:11,918
07/17/2024 16:11,918
07/17/2024 16:12,918
07/17/2024 16:12,905
07/17/2024 16:13,915
07/17/2024 16:13,914
07/17/2024 16:14,919
07/17/2024 16:14,919
07/17/2024 16:15,923
07/17/2024 16:15,910
07/17/2024 16:16,923
07/17/2024 16:16,909
07/17/2024 16:17,910
07/17/2024 16:17,915
07/17/2024 16:18,921
07/17/2024 16:18,907
07/17/2024 16:19,911
07/17/2024 16:19,925
07/17/2024 16:20,915
07/17/2024 16:20,912
07/17/2024 16:21,923
07/17/2024 16:21,901
07/17/2024 16:22,921
07/17/2024 16:22,918
07/17/2024 16:23,919
07/17/2024 16:23,928
07/17/2024 16:24,914
07/17/2024 16:24,922
07/17/2024 16:25,906
07/17/2024 16:25,919
07/17/2024 16:26,916
07/17/2024 16:26,913
07/17/2024 16:27,930
