timestamp,co2
6/24/2024 10:29,509
6/24/2024 10:31,523
6/24/2024 10:32,529
6/24/2024 10:32,537
6/24/2024 10:33,566
6/24/2024 10:33,603
6/24/2024 10:34,610
6/24/2024 10:34,600
6/24/2024 10:35,603
6/24/2024 10:35,610
6/24/2024 10:36,611
6/24/2024 10:36,614
6/24/2024 10:37,624
6/24/2024 10:37,611
6/24/2024 10:38,625
6/24/2024 10:38,623
6/24/2024 10:39,598
6/24/2024 10:39,634
6/24/2024 10:40,639
6/24/2024 10:40,646
6/24/2024 10:41,642
6/24/2024 10:41,655
6/24/2024 10:42,646
6/24/2024 10:42,631
6/24/2024 10:43,632
6/24/2024 10:43,630
6/24/2024 10:44,641
6/24/2024 10:44,637
6/24/2024 10:45,640
6/24/2024 10:45,651
6/24/2024 10:46,645
6/24/2024 10:46,654
6/24/2024 10:47,662
6/24/2024 10:47,652
6/24/2024 10:48,666
6/24/2024 10:48,641
6/24/2024 10:49,662
6/24/2024 10:49,663
6/24/2024 10:50,678
6/24/2024 10:50,682
6/24/2024 10:51,654
6/24/2024 10:51,654
6/24/2024 10:52,660
6/24/2024 10:52,654
6/24/2024 10:53,659
6/24/2024 10:53,681
6/24/2024 10:54,668
6/24/2024 10:54,653
6/24/2024 10:55,656
6/24/2024 10:55,650
6/24/2024 10:56,661
6/24/2024 10:56,654
6/24/2024 10:57,644
6/24/2024 10:57,659
6/24/2024 10:58,657
6/24/2024 10:58,653
6/24/2024 10:59,661
6/24/2024 10:59,675
6/24/2024 11:00,642
6/24/2024 11:00,642
6/24/2024 11:01,651
6/24/2024 11:01,636
6/24/2024 11:02,633
6/24/2024 11:02,620
6/24/2024 11:03,608
6/24/2024 11:03,616
6/24/2024 11:04,606
6/24/2024 11:04,587
6/24/2024 11:05,588
6/24/2024 11:05,585
6/24/2024 11:06,602
6/24/2024 11:06,590
6/24/2024 11:07,576
6/24/2024 11:07,574
6/24/2024 11:08,575
6/24/2024 11:08,567
6/24/2024 11:09,592
6/24/2024 11:09,584
6/24/2024 11:10,582
6/24/2024 11:10,598
6/24/2024 11:11,587
6/24/2024 11:11,575
6/24/2024 11:12,583
6/24/2024 11:12,575
6/24/2024 11:13,575
6/24/2024 11:13,571
6/24/2024 11:14,574
6/24/2024 11:14,579
6/24/2024 11:15,571
6/24/2024 11:15,566
6/24/2024 11:16,573
6/24/2024 11:16,569
6/24/2024 11:17,560
6/24/2024 11:17,569
6/24/2024 11:18,563
6/24/2024 11:18,558
6/24/2024 11:19,566
6/24/2024 11:19,562
6/24/2024 11:20,555
6/24/2024 11:20,557
6/24/2024 11:21,553
6/24/2024 11:21,562
6/24/2024 11:22,559
6/24/2024 11:22,556
6/24/2024 11:23,563
6/24/2024 11:23,560
6/24/2024 11:24,556
