timestamp,co2
6/25/2024 15:35,835
6/25/2024 15:37,840
6/25/2024 15:40,836
6/25/2024 15:43,853
6/25/2024 15:45,840
6/25/2024 15:48,832
6/25/2024 15:51,830
6/25/2024 15:54,841
6/25/2024 15:56,842
6/25/2024 15:59,843
6/25/2024 16:02,847
6/25/2024 16:04,850
6/25/2024 16:05,840
6/25/2024 16:05,837
6/25/2024 16:05,842
6/25/2024 16:05,844
6/25/2024 16:05,839
6/25/2024 16:05,837
6/25/2024 16:06,837
6/25/2024 16:06,839
6/25/2024 16:06,839
6/25/2024 16:06,834
6/25/2024 16:06,836
6/25/2024 16:06,839
6/25/2024 16:07,848
6/25/2024 16:07,856
6/25/2024 16:07,848
6/25/2024 16:07,844
6/25/2024 16:07,843
6/25/2024 16:07,846
6/25/2024 16:08,848
6/25/2024 16:08,844
6/25/2024 16:08,835
6/25/2024 16:08,840
6/25/2024 16:08,846
6/25/2024 16:08,849
6/25/2024 16:09,843
6/25/2024 16:09,839
6/25/2024 16:09,839
6/25/2024 16:09,837
6/25/2024 16:09,845
6/25/2024 16:09,854
6/25/2024 16:10,850
6/25/2024 16:10,847
6/25/2024 16:10,849
6/25/2024 16:10,853
6/25/2024 16:10,852
6/25/2024 16:10,849
6/25/2024 16:11,844
6/25/2024 16:11,842
6/25/2024 16:11,849
6/25/2024 16:11,855
6/25/2024 16:11,844
6/25/2024 16:11,844
6/25/2024 16:12,842
6/25/2024 16:12,848
6/25/2024 16:12,847
6/25/2024 16:12,848
6/25/2024 16:12,849
6/25/2024 16:12,839
6/25/2024 16:13,843
6/25/2024 16:13,855
6/25/2024 16:13,852
6/25/2024 16:13,844
6/25/2024 16:13,843
6/25/2024 16:13,845
6/25/2024 16:14,849
6/25/2024 16:14,850
6/25/2024 16:14,852
6/25/2024 16:14,847
6/25/2024 16:14,843
6/25/2024 16:14,843
6/25/2024 16:15,841
6/25/2024 16:15,843
6/25/2024 16:15,851
6/25/2024 16:15,849
6/25/2024 16:15,852
6/25/2024 16:15,862
6/25/2024 16:16,853
6/25/2024 16:16,846
6/25/2024 16:16,849
6/25/2024 16:16,852
6/25/2024 16:16,851
6/25/2024 16:16,845
6/25/2024 16:17,838
6/25/2024 16:17,837
6/25/2024 16:17,842
6/25/2024 16:17,841
6/25/2024 16:17,850
6/25/2024 16:17,851
6/25/2024 16:18,845
6/25/2024 16:18,846
6/25/2024 16:18,851
6/25/2024 16:18,850
6/25/2024 16:18,843
6/25/2024 16:18,842
6/25/2024 16:19,850
6/25/2024 16:19,854
6/25/2024 16:19,849
6/25/2024 16:19,845
6/25/2024 16:19,858
6/25/2024 16:19,860
6/25/2024 16:20,854
6/25/2024 16:20,848
6/25/2024 16:20,845
6/25/2024 16:20,841
6/25/2024 16:20,841
6/25/2024 16:20,847
6/25/2024 16:21,857
6/25/2024 16:21,857
6/25/2024 16:21,853
6/25/2024 16:21,845
6/25/2024 16:21,844
6/25/2024 16:21,847
6/25/2024 16:22,849
6/25/2024 16:22,851
6/25/2024 16:22,851
6/25/2024 16:22,851
6/25/2024 16:22,850
6/25/2024 16:22,851
6/25/2024 16:23,845
6/25/2024 16:23,841
6/25/2024 16:23,836
6/25/2024 16:23,839
6/25/2024 16:23,848
6/25/2024 16:23,838
6/25/2024 16:24,831
6/25/2024 16:24,839
6/25/2024 16:24,830
6/25/2024 16:24,830
6/25/2024 16:24,848
6/25/2024 16:24,854
6/25/2024 16:25,838
6/25/2024 16:25,838
6/25/2024 16:25,850
6/25/2024 16:25,852
6/25/2024 16:25,846
6/25/2024 16:25,839
6/25/2024 16:26,829
6/25/2024 16:26,835
6/25/2024 16:26,841
6/25/2024 16:26,836
6/25/2024 16:26,839
6/25/2024 16:26,839
6/25/2024 16:27,843
6/25/2024 16:27,846
6/25/2024 16:27,845
6/25/2024 16:27,844
6/25/2024 16:27,844
6/25/2024 16:27,839
6/25/2024 16:28,836
6/25/2024 16:28,839
6/25/2024 16:28,843
6/25/2024 16:28,835
6/25/2024 16:28,832
6/25/2024 16:28,837
6/25/2024 16:29,848
6/25/2024 16:29,856
6/25/2024 16:29,843
6/25/2024 16:29,841
6/25/2024 16:29,853
6/25/2024 16:29,848
6/25/2024 16:30,841
6/25/2024 16:30,831
6/25/2024 16:30,824
6/25/2024 16:30,828
6/25/2024 16:30,837
6/25/2024 16:30,839
6/25/2024 16:31,836
6/25/2024 16:31,834
6/25/2024 16:31,840
6/25/2024 16:31,850
6/25/2024 16:31,838
6/25/2024 16:31,836
6/25/2024 16:32,842
6/25/2024 16:32,837
6/25/2024 16:32,842
6/25/2024 16:32,848
6/25/2024 16:32,845
6/25/2024 16:32,836
6/25/2024 16:33,838
6/25/2024 16:33,841
6/25/2024 16:33,837
6/25/2024 16:33,837
6/25/2024 16:33,843
6/25/2024 16:33,845
6/25/2024 16:34,842
6/25/2024 16:34,840
6/25/2024 16:34,839
6/25/2024 16:34,840
6/25/2024 16:34,832
6/25/2024 16:34,839
6/25/2024 16:35,840
6/25/2024 16:35,835
6/25/2024 16:35,838
6/25/2024 16:35,838
6/25/2024 16:35,842
6/25/2024 16:35,845
6/25/2024 16:36,843
6/25/2024 16:36,849
6/25/2024 16:36,852
6/25/2024 16:36,844
6/25/2024 16:36,835
6/25/2024 16:36,830
6/25/2024 16:37,837
6/25/2024 16:37,845
6/25/2024 16:37,842
6/25/2024 16:37,836
6/25/2024 16:37,840
6/25/2024 16:37,839
6/25/2024 16:38,841
6/25/2024 16:38,837
6/25/2024 16:38,834
6/25/2024 16:38,835
6/25/2024 16:38,843
6/25/2024 16:38,845
6/25/2024 16:39,844
6/25/2024 16:39,845
6/25/2024 16:39,847
6/25/2024 16:39,841
6/25/2024 16:39,841
6/25/2024 16:39,854
